Date and Time,Steps,Floors,Calories Burned,Elevation Gained,Feet - ignore,Miles,Miles - ignore,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,Cycle Day
"December 25, 2017","5,395",13,"2,164",,,1.79,,653,267,22,1,15
"December 26, 2017","5,391",9,"1,943",,,1.79,,"1,242",191,7,0,16
"December 27, 2017","6,114",11,"2,131",,,2.03,,880,262,8,2,17
"December 28, 2017","4,540",12,"1,889",,,1.51,,"1,287",123,28,2,18
"December 29, 2017",0,0,"1,433",,,0,,"1,440",0,0,0,19
"December 30, 2017",4,0,"1,435",,,0,,"1,440",0,0,0,20
"December 31, 2017","8,507",9,"2,639",,,2.82,,948,492,0,0,21
"January 1, 2018",631,4,"1,508",,,0.21,,"1,257",28,0,0,22
"January 2, 2018","4,811",8,"1,867",,,1.65,,"1,289",141,5,5,23
"January 3, 2018","6,391",12,"2,077",,,2.12,,613,233,10,9,24
"January 4, 2018","1,646",6,"1,603",,,0.55,,961,69,0,0,25
"January 5, 2018","1,388",6,"1,582",,,0.46,,"1,374",66,0,0,26
"January 6, 2018","2,956",11,"1,703",,,0.98,,"1,331",109,0,0,27
"January 7, 2018","6,328",13,"2,176",,,2.1,,520,324,0,0,1
"January 8, 2018","5,432",10,"2,025",,,1.8,,525,208,8,6,2
"January 9, 2018","9,975",19,"2,356",,,3.34,,650,283,14,25,3
"January 10, 2018","6,243",7,"2,008",,,2.12,,667,218,3,5,4
"January 11, 2018","5,637",10,"2,012",,,1.87,,604,212,8,7,5
"January 12, 2018","5,488",17,"1,987",,,1.82,,672,180,13,7,6
"January 13, 2018","3,856",13,"1,806",,,1.28,,654,146,0,0,7
"January 14, 2018",5160,10,1881,100,feet,1.71,miles,645,218,0,0,8
"January 15, 2018",4997,8,1937,80,feet,1.66,miles,1217,223,0,0,9
"January 16, 2018",5684,16,1962,160,feet,1.89,miles,888,211,7,4,10
"January 17, 2018",8039,7,2077,70,feet,2.67,miles,669,183,13,30,11
"January 18, 2018",7564,22,2059,220,feet,2.51,miles,919,208,1,17,12
"January 19, 2018",4124,8,1894,80,feet,1.38,miles,687,203,0,0,13
"January 20, 2018",3275,6,1740,60,feet,1.09,miles,887,143,0,0,14
"January 21, 2018",3336,9,1737,90,feet,1.11,miles,693,148,0,0,15
"January 22, 2018","4,476",16,"1,947",,,1.49,,672,212,0,0,16
"January 23, 2018","5,890",8,"2,058",,,1.98,,684,226,6,5,17
"January 24, 2018",5328,11,1924,110,feet,1.77,miles,807,192,0,0,18
"January 25, 2018",2332,8,1699,80,feet,0.77,miles,949,119,0,0,19
"January 26, 2018",5628,10,1944,100,feet,1.93,miles,266,198,9,5,20
"January 27, 2018",9107,20,2112,200,feet,3.02,miles,825,180,20,32,21
"January 28, 2018",2824,8,1739,80,feet,0.94,miles,861,134,4,4,22
"January 29, 2018",6354,13,2033,130,feet,2.15,miles,917,220,9,5,23
"January 30, 2018",7930,15,2201,150,feet,2.63,miles,718,308,8,6,24
"January 31, 2018",8329,5,2065,50,feet,2.76,miles,649,183,21,25,25
"February 1, 2018",6426,9,2024,90,feet,2.13,miles,611,245,0,0,26
"February 2, 2018",8347,19,2213,190,feet,2.77,miles,671,322,0,0,27
"February 3, 2018",7268,5,2084,50,feet,2.41,miles,603,243,14,4,1
"February 4, 2018",26,0,1400,0,feet,0.01,miles,1440,0,0,0,2
"February 5, 2018",4300,17,1804,170,feet,1.51,miles,1289,141,8,2,3
"February 6, 2018",5063,6,1866,60,feet,1.72,miles,844,170,0,0,4
"February 7, 2018",4964,10,1859,100,feet,1.65,miles,748,177,0,0,5
"February 8, 2018",4403,14,1884,140,feet,1.46,miles,706,226,0,0,6
"February 9, 2018",7024,6,2107,60,feet,2.33,miles,662,284,0,0,7
"February 10, 2018",4566,6,1872,60,feet,1.51,miles,1242,198,0,0,8
"February 11, 2018",11685,8,2390,80,feet,3.88,miles,471,341,20,5,9
"February 12, 2018",11465,7,2490,70,feet,3.8,miles,576,276,46,38,10
"February 13, 2018",5698,7,2053,70,feet,1.89,miles,701,252,0,0,11
"February 14, 2018",9201,7,2309,70,feet,3.05,miles,1099,327,11,3,12
"February 15, 2018",5127,5,1959,50,feet,1.7,miles,1215,225,0,0,13
"February 16, 2018",7192,5,2171,50,feet,2.39,miles,1098,342,0,0,14
"February 17, 2018",12264,38,2454,380,feet,4.07,miles,606,298,45,22,15
"February 18, 2018",9932,17,2248,170,feet,3.32,miles,462,327,10,1,16
"February 19, 2018","8,669",3,"2,335",,,2.88,,619,323,12,0,17
"February 20, 2018",10794,4,2462,40,feet,3.58,miles,45,403,8,2,18
"February 21, 2018",8464,15,2187,150,feet,2.8,miles,1049,310,0,0,19
"February 22, 2018","3,997",5,"1,833",,,1.42,,772,133,5,5,20
"February 23, 2018","4,727",13,"1,903",,,1.68,,"1,265",148,18,9,21
"February 24, 2018","8,041",13,"2,079",,,2.67,,491,166,34,21,22
"February 25, 2018",3579,14,1792,140,feet,1.19,miles,569,186,0,0,23
"February 26, 2018",7403,9,2152,90,feet,2.5,miles,866,210,11,26,24
"February 27, 2018",6067,9,2038,90,feet,2,miles,716,242,0,0,25
"February 28, 2018",6141,7,2055,70,feet,2.04,miles,783,240,10,8,26
"March 1, 2018","5,884",4,"2,049",,,1.95,,568,262,0,0,27
"March 2, 2018",4109,36,1887,360,feet,1.36,miles,686,221,0,0,1
"March 3, 2018",4387,12,1813,120,feet,1.46,miles,606,167,0,0,2
"March 4, 2018",5597,16,1957,160,feet,1.86,miles,1192,248,0,0,3
"March 5, 2018","5,179",12,"1,963",,,1.83,,725,169,3,10,4
"March 6, 2018","3,603",10,"1,850",,,1.2,,659,163,0,0,5
"March 7, 2018","4,247",11,"1,878",,,1.49,,750,157,0,0,6
"March 8, 2018","3,983",9,"1,865",,,1.32,,733,152,7,4,7
"March 9, 2018",7060,14,2033,140,feet,2.34,miles,698,247,0,0,8
"March 10, 2018",195,2,1424,20,feet,0.06,miles,998,11,0,0,9
"March 11, 2018",5826,13,2071,130,feet,1.91,miles,539,218,4,21,10
"March 12, 2018",6551,16,2069,160,feet,2.15,miles,753,225,2,10,11
"March 13, 2018",6200,26,2055,260,feet,2.02,miles,819,179,16,24,12
"March 14, 2018",2647,9,1709,90,feet,0.88,miles,918,130,0,0,13
"March 15, 2018","6,462",18,"2,154",,,2.14,,590,278,8,2,14
"March 16, 2018",3587,10,1796,100,feet,1.19,miles,882,161,0,0,15
"March 17, 2018",10436,31,2471,310,feet,3.43,miles,1064,341,11,24,16
"March 18, 2018",9221,13,2394,130,feet,3.04,miles,569,315,16,23,17
"March 19, 2018",8347,14,2299,140,feet,2.82,miles,728,281,9,19,18
"March 20, 2018",6965,23,2137,230,feet,2.29,miles,718,252,4,8,19
"March 21, 2018",2721,4,1744,40,feet,0.9,miles,786,139,0,0,20
"March 22, 2018",5546,15,1944,150,feet,1.82,miles,882,129,21,18,21
"March 23, 2018",6083,7,2182,70,feet,2.02,miles,607,280,11,8,1
"March 24, 2018",7125,20,2093,200,feet,2.33,miles,762,223,6,10,2
"March 25, 2018",8035,15,2268,150,feet,2.65,miles,559,294,2,16,3
"March 26, 2018",6305,12,2134,120,feet,2.13,miles,770,182,18,25,4
"March 27, 2018",6741,11,2109,110,feet,2.27,miles,766,231,12,11,5
"March 28, 2018",11914,33,2653,330,feet,3.97,miles,596,372,44,7,6
"March 29, 2018",8376,11,2279,110,feet,2.78,miles,620,323,8,5,7
"March 30, 2018",8519,13,2302,130,feet,2.81,miles,542,313,3,19,8
"March 31, 2018",7386,16,2167,160,feet,2.42,miles,680,313,0,0,9
"April 1, 2018",10565,32,2488,320,feet,3.49,miles,646,293,17,37,10
"April 2, 2018",6626,12,2113,120,feet,2.2,miles,647,277,6,4,11
"April 3, 2018",6520,18,2035,180,feet,2.16,miles,647,194,11,13,12
"April 4, 2018",4919,8,2110,80,feet,1.54,miles,702,222,7,6,13
"April 5, 2018",10387,26,2443,260,feet,3.5,miles,672,273,18,36,14
"April 6, 2018",5452,8,1981,80,feet,1.81,miles,929,208,0,0,15
"April 7, 2018",7166,14,2075,140,feet,2.41,miles,762,190,3,19,16
"April 8, 2018",6673,12,2366,120,feet,2.21,miles,618,291,70,0,17
"April 9, 2018",9257,25,2348,250,feet,3.36,miles,643,200,19,43,18
"April 10, 2018",9027,26,2256,260,feet,3.04,miles,709,235,9,23,19
"April 11, 2018",9430,8,2326,80,feet,3.13,miles,734,230,19,38,20
"April 12, 2018",7449,20,2097,200,feet,2.5,miles,717,205,11,11,21
"April 13, 2018",7084,8,2031,80,feet,2.35,miles,778,181,14,6,22
"April 14, 2018",1473,9,1624,90,feet,0.49,miles,694,78,0,0,23
"April 15, 2018",3413,11,1784,110,feet,1.13,miles,699,144,0,0,24
"April 16, 2018",4257,7,1981,70,feet,1.41,miles,673,210,13,0,25
"April 17, 2018",4151,6,1924,60,feet,1.38,miles,800,208,0,0,26
"April 18, 2018",5955,12,2078,120,feet,1.98,miles,863,247,0,0,27
"April 19, 2018",3783,4,1868,40,feet,1.26,miles,756,173,0,0,28
"April 20, 2018",4373,8,1944,80,feet,1.45,miles,786,197,0,0,29
"April 21, 2018",2837,6,1690,60,feet,0.94,miles,796,118,0,0,1
"April 22, 2018",10019,22,2304,220,feet,3.7,miles,1156,232,15,37,2
"April 23, 2018",10184,7,2319,70,feet,3.36,miles,661,242,12,36,3
"April 24, 2018",8018,17,2110,170,feet,2.66,miles,782,182,22,28,4
"April 25, 2018",9448,9,2277,90,feet,3.16,miles,643,280,10,10,5
"April 26, 2018",5358,8,1894,80,feet,2.03,miles,731,182,8,2,6
"April 27, 2018",10781,21,2255,210,feet,4.78,miles,719,201,18,40,7
"April 28, 2018",14229,18,2659,180,feet,6.22,miles,485,413,4,28,8
"April 29, 2018",7326,18,2157,180,feet,3.15,miles,734,251,8,16,9
"April 30, 2018",4759,21,1850,210,feet,2.11,miles,753,145,1,9,
"May 1, 2018",8816,18,2191,180,feet,3.89,miles,839,160,32,36,
"May 2, 2018",9515,18,2292,180,feet,4.24,miles,692,198,37,24,
"May 3, 2018",6995,23,2230,230,feet,3.02,miles,654,199,39,20,
"May 4, 2018",11963,22,2545,220,feet,5.36,miles,668,308,43,28,
"May 5, 2018",11014,17,2568,170,feet,4.75,miles,561,397,34,8,
"May 6, 2018",6641,10,2058,100,feet,2.86,miles,730,276,0,0,
"May 7, 2018",5689,5,1895,50,feet,2.45,miles,831,186,0,0,
"May 8, 2018",6839,13,2049,130,feet,2.99,miles,745,211,9,11,
"May 9, 2018",11662,22,2411,220,feet,5.12,miles,729,221,41,47,
