Date and Time,Steps,Floors,Calories Burned,Elevation Gained,Feet - ignore,Miles,Miles - ignore,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,Cycle Day
"March 25, 2017","3,839",7,"1,851",,,0.99,,725,198,0,0,2
"March 26, 2017","4,254",7,"1,843",,,1.14,,781,209,0,0,3
"March 27, 2017","3,930",3,"1,819",,,1.08,,"1,242",198,0,0,4
"March 28, 2017","5,882",8,"2,020",,,1.63,,"1,174",266,0,0,5
"March 29, 2017","3,251",7,"1,812",,,0.86,,"1,262",178,0,0,6
"March 30, 2017","6,154",4,"2,032",,,1.69,,978,267,0,0,7
"March 31, 2017","4,191",1,"1,797",,,1.17,,921,165,0,0,8
"April 1, 2017","9,443",21,"2,444",,,2.54,,980,423,8,2,9
"April 2, 2017","6,446",15,"2,116",,,1.73,,595,269,0,0,10
"April 3, 2017","4,309",6,"1,811",,,1.2,,"1,103",169,0,0,11
"April 4, 2017",4294,6,1832,60,feet,1.23,miles,961,167,0,0,12
"April 5, 2017",3220,6,1772,60,feet,1.01,miles,979,156,0,0,13
"April 6, 2017",3284,5,1735,50,feet,1.09,miles,775,137,0,0,14
"April 7, 2017",4161,5,1837,50,feet,1.38,miles,1258,182,0,0,15
"April 8, 2017","9,561",,"2,464",,,3.17,,497,445,0,0,16
"April 9, 2017","15,400",,"2,937",,,5.11,,663,540,34,4,17
"April 10, 2017","9,164",,"2,167",,,3.04,,762,261,16,5,18
"April 11, 2017",8684,16,2125,160,feet,2.88,miles,1162,260,8,10,19
"April 12, 2017",9250,9,2274,90,feet,3.07,miles,711,303,8,9,20
"April 13, 2017","8,364",,"2,212",,,2.78,,614,290,8,10,21
"April 14, 2017","2,242",,"1,711",,,0.74,,869,123,0,0,22
"April 15, 2017",12899,13,2407,130,feet,4.28,miles,952,289,31,22,23
"April 16, 2017",7116,2,1912,20,feet,2.36,miles,251,124,7,26,24
"April 17, 2017",26,0,1403,0,feet,0.01,miles,1440,0,0,0,25
"April 18, 2017",1137,0,1510,0,feet,0.38,miles,1394,46,0,0,1
"April 19, 2017",2188,3,1602,30,feet,0.73,miles,1351,89,0,0,2
"April 20, 2017",2917,1,1760,10,feet,0.97,miles,337,146,0,0,3
"April 21, 2017",7154,13,2242,130,feet,2.37,miles,586,383,0,0,4
"April 22, 2017","3,956",,"1,849",,,1.31,,646,173,0,0,5
"April 23, 2017","6,032",,"1,989",,,2,,619,219,0,0,6
"April 24, 2017",5550,4,1991,40,feet,1.84,miles,311,233,8,0,7
"April 25, 2017",7150,16,2143,160,feet,2.37,miles,686,298,0,0,8
"April 26, 2017",6186,6,2059,60,feet,2.05,miles,583,242,0,0,9
"April 27, 2017",3464,4,1798,40,feet,1.15,miles,390,172,0,0,10
"April 28, 2017","6,059",,"2,044",,,2.01,,737,252,0,0,11
"April 29, 2017","10,245",,"2,468",,,3.4,,667,311,15,21,12
"April 30, 2017",8994,14,2335,140,feet,2.98,miles,750,260,39,8,13
"May 1, 2017",15889,26,2731,260,feet,5.27,miles,1049,314,29,48,14
"May 2, 2017",12543,7,2453,70,feet,4.16,miles,717,295,28,34,15
"May 6, 2017",6193,17,1994,170,feet,2.05,miles,1074,252,0,0,19
