Fell Asleep At,End Time,Date of Fell Asleep,total Sleep,Total Sleep in Seconds,Time Awake,Time Awake Seconds,Awake Count,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
3/7/2017 22:24:00,3/8/2017 5:37:00,3/7/2017,428,25680,4,240,0,433,,,
3/8/2017 22:21:00,3/9/2017 5:13:00,3/8/2017,404,24240,8,480,0,412,,,
3/10/2017 0:46:00,3/10/2017 6:31:00,3/10/2017,326,19560,16,960,0,345,,,
3/11/2017 21:18:00,3/12/2017 7:46:00,3/11/2017,596,35760,32,1920,1,628,,,
3/12/2017 21:16:00,3/13/2017 5:34:00,3/12/2017,480,28800,18,1080,2,498,,,
3/13/2017 22:30:00,3/14/2017 5:28:00,3/13/2017,,24540,9,540,0,418,,,
3/14/2017 21:33:00,3/15/2017 2:46:00,3/14/2017,,18240,9,540,0,313,,,
3/15/2017 4:22:00,3/15/2017 5:45:00,3/15/2017,,4920,1,60,0,83,,,
3/15/2017 22:44:00,3/16/2017 5:54:00,3/15/2017,,25680,2,120,0,430,,,
3/16/2017 21:16:00,3/17/2017 3:43:00,3/16/2017,,22800,1,60,1,387,,,
3/17/2017 5:14:00,3/17/2017 6:42:00,3/17/2017,,5040,4,240,0,88,,,
3/17/2017 21:36:00,3/18/2017 0:18:00,3/17/2017,,8940,13,780,0,162,,,
3/18/2017 2:12:00,3/18/2017 6:49:00,3/18/2017,,16560,1,60,0,277,,,
3/19/2017 23:33:00,3/20/2017 6:42:00,3/19/2017,,23640,34,2040,3,428,,,
3/20/2017 21:03:00,3/21/2017 5:24:00,3/20/2017,,28320,29,1740,2,501,,,
3/21/2017 22:37:00,3/22/2017 5:46:00,3/21/2017,,22860,42,2520,1,429,,,
3/22/2017 21:22:00,3/23/2017 6:35:00,3/22/2017,,32400,10,600,0,553,,,
3/23/2017 22:30:00,3/24/2017 5:02:00,3/23/2017,,22500,17,1020,1,392,,,
3/24/2017 21:14:00,3/25/2017 7:14:00,3/24/2017,,33780,36,2160,1,599,,,
3/25/2017 22:36:00,3/26/2017 7:30:00,3/25/2017,,29760,38,2280,2,534,,,
3/30/2017 20:45:00,3/31/2017 5:54:00,3/30/2017,,30060,48,2880,1,549,,,
4/1/2017 23:32:00,4/2/2017 9:36:00,4/1/2017,,34200,31,1860,2,604,,,
4/3/2017 21:11:00,4/4/2017 5:12:00,4/3/2017,,28080,12,720,0,480,,,
