Fell Asleep At,End Time,Date of Fell Asleep,total Sleep,Total Sleep in Seconds,Time Awake,Time Awake Seconds,Awake Count,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
10/10/2017 21:29:00,10/11/2017 3:17:00,10/10/2017,,17880,50,3000,13,348,43,211,44
10/11/2017 22:35:00,10/12/2017 5:34:00,10/11/2017,,23460,28,1680,16,419,64,247,80
10/12/2017 21:40:00,10/13/2017 6:21:00,10/12/2017,,28500,46,2760,27,521,93,293,89
10/13/2017 22:30:00,10/14/2017 7:28:00,10/13/2017,,31320,16,960,0,538,,,
10/14/2017 21:36:00,10/15/2017 7:11:00,10/14/2017,,33720,13,780,2,575,,,
10/15/2017 23:01:00,10/16/2017 4:54:00,10/15/2017,,18600,43,2580,23,353,79,147,84
10/16/2017 21:58:00,10/17/2017 6:48:00,10/16/2017,,26280,92,5520,22,530,125,240,73
10/17/2017 21:39:00,10/18/2017 4:10:00,10/17/2017,,20640,47,2820,18,391,83,171,90
10/18/2017 21:23:00,10/19/2017 6:49:00,10/18/2017,,30480,58,3480,39,566,147,265,96
10/24/2017 21:57:00,10/25/2017 5:56:00,10/24/2017,,25200,58,3480,27,478,117,221,82
10/25/2017 22:23:00,10/26/2017 5:35:00,10/25/2017,,22920,50,3000,20,432,95,197,90
10/27/2017 0:25:00,10/27/2017 7:30:00,10/27/2017,,24000,25,1500,23,425,130,190,80
10/27/2017 22:28:00,10/28/2017 8:34:00,10/27/2017,,32580,63,3780,24,606,188,277,78
10/28/2017 22:32:00,10/29/2017 7:49:00,10/28/2017,,30000,56,3360,38,556,125,286,89
10/30/2017 22:30:00,10/31/2017 5:33:00,10/30/2017,,23880,25,1500,25,423,73,236,89
10/31/2017 21:54:00,11/1/2017 4:40:00,10/31/2017,,21540,47,2820,22,406,62,230,67
11/2/2017 22:09:00,11/3/2017 4:35:00,11/2/2017,,22500,11,660,0,386,,,
11/3/2017 5:35:00,11/3/2017 7:07:00,11/3/2017,,4800,12,720,0,92,,,
11/4/2017 22:23:00,11/5/2017 6:53:00,11/4/2017,,28800,30,1800,24,510,137,247,96
11/5/2017 21:24:00,11/6/2017 2:53:00,11/5/2017,,18300,24,1440,17,329,66,171,68
11/6/2017 23:26:00,11/7/2017 1:24:00,11/6/2017,,6720,6,360,1,118,,,
11/8/2017 22:48:00,11/9/2017 4:51:00,11/8/2017,,19260,41,2460,21,362,87,164,70
11/9/2017 22:07:00,11/10/2017 4:56:00,11/9/2017,,22680,31,1860,14,409,116,176,86
11/11/2017 21:37:00,11/12/2017 7:58:00,11/11/2017,,32040,86,5160,33,620,125,316,93
11/12/2017 23:25:00,11/13/2017 5:29:00,11/12/2017,,19800,34,2040,26,364,60,186,84
11/13/2017 21:03:00,11/14/2017 4:33:00,11/13/2017,,24660,39,2340,27,450,119,200,92
11/14/2017 22:03:00,11/15/2017 5:13:00,11/14/2017,,22800,49,2940,23,429,98,194,88
11/15/2017 22:00:00,11/16/2017 5:50:00,11/15/2017,,25620,43,2580,26,470,108,235,84
11/17/2017 22:20:00,11/18/2017 6:17:00,11/17/2017,,25740,48,2880,21,477,55,287,87
11/19/2017 22:02:00,11/20/2017 5:31:00,11/19/2017,,23940,50,3000,19,449,101,218,80
11/20/2017 21:30:00,11/21/2017 5:07:00,11/20/2017,,24720,44,2640,19,456,99,231,82
11/22/2017 21:14:00,11/23/2017 6:58:00,11/22/2017,,33960,18,1080,1,584,,,
11/23/2017 20:11:00,11/24/2017 7:00:00,11/23/2017,,36120,43,2580,2,649,,,
11/25/2017 0:01:00,11/25/2017 6:02:00,11/25/2017,,21060,10,600,1,361,,,
11/25/2017 21:48:00,11/26/2017 5:30:00,11/25/2017,,26160,26,1560,26,462,133,209,94
11/26/2017 21:32:00,11/27/2017 5:23:00,11/26/2017,,26340,32,1920,29,471,124,228,87
11/27/2017 22:39:00,11/28/2017 5:25:00,11/27/2017,,21660,45,2700,19,406,65,206,90
11/28/2017 21:36:00,11/29/2017 6:30:00,11/28/2017,,28320,62,3720,29,534,143,203,126
11/29/2017 21:56:00,11/30/2017 5:40:00,11/29/2017,,25740,34,2040,20,463,92,205,132
11/30/2017 23:50:00,12/1/2017 6:47:00,11/30/2017,,21300,61,3660,24,416,97,172,86
12/1/2017 22:56:00,12/2/2017 6:52:00,12/1/2017,,27000,26,1560,27,476,116,205,129
12/4/2017 0:22:00,12/4/2017 6:58:00,12/4/2017,,20940,47,2820,27,396,112,144,93
12/4/2017 23:14:00,12/5/2017 2:44:00,12/4/2017,,10860,29,1740,8,210,39,116,26
12/6/2017 0:23:00,12/6/2017 6:59:00,12/6/2017,,22440,22,1320,11,396,127,130,117
12/7/2017 0:50:00,12/7/2017 7:39:00,12/7/2017,,21840,45,2700,23,409,93,166,105
12/7/2017 21:07:00,12/8/2017 6:38:00,12/7/2017,,31140,51,3060,30,570,138,245,136
12/8/2017 22:10:00,12/9/2017 5:13:00,12/8/2017,,22440,49,2940,14,423,72,245,57
12/10/2017 2:32:00,12/10/2017 6:56:00,12/10/2017,,13800,33,1980,18,263,42,138,50
12/10/2017 22:27:00,12/11/2017 5:35:00,12/10/2017,,23880,30,1800,13,428,122,179,97
12/11/2017 23:56:00,12/12/2017 5:27:00,12/11/2017,,16860,50,3000,14,331,57,145,79
12/12/2017 21:43:00,12/13/2017 5:06:00,12/12/2017,,24900,28,1680,18,443,130,190,95
12/16/2017 1:09:00,12/16/2017 8:54:00,12/16/2017,,25800,35,2100,25,465,101,245,84
12/16/2017 23:03:00,12/17/2017 7:23:00,12/16/2017,,27540,41,2460,31,500,118,227,114
12/17/2017 22:50:00,12/18/2017 6:39:00,12/17/2017,,26520,27,1620,26,469,127,239,76
12/19/2017 0:37:00,12/19/2017 4:45:00,12/19/2017,,13620,21,1260,11,248,71,111,45
12/19/2017 22:54:00,12/20/2017 5:30:00,12/19/2017,,21540,37,2220,15,396,109,185,65
12/20/2017 23:01:00,12/21/2017 7:12:00,12/20/2017,,27540,31,1860,24,490,149,194,116
12/21/2017 23:01:00,12/22/2017 7:28:00,12/21/2017,,27360,51,3060,26,507,126,247,83
12/23/2017 23:31:00,12/24/2017 8:10:00,12/23/2017,,27060,68,4080,24,519,105,291,55
12/24/2017 21:58:00,12/25/2017 6:15:00,12/24/2017,,27600,37,2220,13,497,139,208,113
12/27/2017 2:56:00,12/27/2017 7:44:00,12/27/2017,,15660,27,1620,10,288,109,92,60
1/1/2018 0:54:00,1/1/2018 3:29:00,1/1/2018,,7980,21,1260,3,155,,,
1/2/2018 23:35:00,1/3/2018 6:07:00,1/2/2018,,21240,38,2280,22,392,112,157,85
1/3/2018 20:56:00,1/4/2018 3:47:00,1/3/2018,,22680,32,1920,20,410,94,226,58
1/6/2018 21:49:00,1/7/2018 5:46:00,1/6/2018,,25920,45,2700,26,477,108,221,103
1/7/2018 22:01:00,1/8/2018 6:04:00,1/7/2018,,26700,38,2280,18,483,104,252,89
1/8/2018 20:30:00,1/9/2018 4:18:00,1/8/2018,,25740,39,2340,28,468,84,266,79
1/10/2018 0:11:00,1/10/2018 6:44:00,1/10/2018,,20160,57,3420,15,393,86,166,84
1/10/2018 21:26:00,1/11/2018 5:12:00,1/10/2018,,24600,56,3360,27,466,108,174,128
1/11/2018 21:36:00,1/12/2018 6:08:00,1/11/2018,,27180,59,3540,21,512,139,219,95
1/12/2018 23:03:00,1/13/2018 8:13:00,1/12/2018,,29640,55,3300,28,549,154,242,98
1/13/2018 22:28:00,1/14/2018 8:05:00,1/13/2018,,31140,58,3480,35,577,148,273,98
1/15/2018 22:50:00,1/16/2018 3:06:00,1/15/2018,,13320,34,2040,10,256,39,134,49
1/16/2018 5:17:00,1/16/2018 6:31:00,1/16/2018,,4020,6,360,0,74,,,
1/16/2018 21:06:00,1/17/2018 3:24:00,1/16/2018,,20940,29,1740,18,378,80,196,73
1/17/2018 4:52:00,1/17/2018 7:39:00,1/17/2018,,8700,17,1020,1,167,,,
1/17/2018 22:23:00,1/18/2018 3:18:00,1/17/2018,,14520,53,3180,13,295,60,128,54
1/18/2018 22:48:00,1/19/2018 7:59:00,1/18/2018,,29280,62,3720,30,550,134,265,89
1/19/2018 22:37:00,1/20/2018 5:27:00,1/19/2018,,23340,21,1260,13,410,131,180,78
1/20/2018 21:15:00,1/21/2018 7:14:00,1/20/2018,,30480,91,5460,33,599,128,314,66
1/21/2018 21:46:00,1/22/2018 5:30:00,1/21/2018,,26040,30,1800,22,464,125,177,132
1/22/2018 22:27:00,1/23/2018 5:39:00,1/22/2018,,23760,35,2100,26,431,96,215,85
1/23/2018 22:32:00,1/24/2018 5:53:00,1/23/2018,,24660,30,1800,22,441,126,200,85
1/25/2018 0:16:00,1/25/2018 6:28:00,1/25/2018,,21060,21,1260,17,372,108,152,91
1/25/2018 21:01:00,1/26/2018 6:32:00,1/25/2018,,33600,8,480,1,570,,,
1/26/2018 21:44:00,1/27/2018 4:07:00,1/26/2018,,20880,35,2100,16,383,72,212,64
1/27/2018 23:11:00,1/28/2018 6:29:00,1/27/2018,,23940,38,2280,20,437,102,231,66
1/28/2018 22:01:00,1/29/2018 2:50:00,1/28/2018,,16140,20,1200,14,289,48,146,75
1/29/2018 22:16:00,1/30/2018 4:56:00,1/29/2018,,21060,49,2940,16,400,95,205,51
1/30/2018 21:17:00,1/31/2018 6:39:00,1/30/2018,,27300,107,6420,31,562,110,283,62
1/31/2018 20:42:00,2/1/2018 6:26:00,1/31/2018,,31440,60,3600,22,584,143,265,116
2/1/2018 22:37:00,2/2/2018 6:05:00,2/1/2018,,24300,42,2520,25,447,126,183,96
2/2/2018 21:48:00,2/3/2018 3:15:00,2/2/2018,,17640,33,1980,16,327,67,163,64
2/3/2018 4:18:00,2/3/2018 8:28:00,2/3/2018,,13140,30,1800,12,249,12,163,44
2/5/2018 23:29:00,2/6/2018 6:35:00,2/5/2018,,22320,54,3240,30,426,117,169,86
2/6/2018 21:33:00,2/7/2018 6:08:00,2/6/2018,,28680,37,2220,28,515,139,235,104
2/7/2018 20:08:00,2/8/2018 0:36:00,2/7/2018,,15240,14,840,14,268,69,129,56
2/8/2018 2:51:00,2/8/2018 6:52:00,2/8/2018,,12660,29,1740,19,240,37,115,59
2/18/2018 23:40:00,2/19/2018 7:46:00,2/18/2018,,23820,89,5340,15,486,91,246,60
2/20/2018 0:19:00,2/20/2018 8:30:00,2/20/2018,,27780,28,1680,2,491,,,
2/21/2018 19:57:00,2/22/2018 4:42:00,2/21/2018,,27900,60,3600,26,525,121,236,108
2/23/2018 21:51:00,2/24/2018 6:42:00,2/23/2018,,28620,54,3240,29,531,111,266,100
2/24/2018 20:42:00,2/25/2018 5:03:00,2/24/2018,,27840,36,2160,25,500,112,273,79
2/25/2018 20:55:00,2/26/2018 5:27:00,2/25/2018,,28620,35,2100,4,512,,,
2/26/2018 22:04:00,2/27/2018 6:06:00,2/26/2018,,26040,48,2880,27,482,154,146,134
2/28/2018 0:08:00,2/28/2018 6:47:00,2/28/2018,,22320,27,1620,21,399,125,155,92
2/28/2018 22:23:00,3/1/2018 6:01:00,2/28/2018,,25680,30,1800,25,458,139,210,79
3/1/2018 21:28:00,3/2/2018 4:34:00,3/1/2018,,23580,33,1980,17,426,156,163,74
3/2/2018 22:12:00,3/3/2018 9:19:00,3/2/2018,,37020,50,3000,34,667,156,337,124
3/4/2018 22:28:00,3/5/2018 5:27:00,3/4/2018,,22740,40,2400,20,419,54,259,66
3/5/2018 22:05:00,3/6/2018 5:46:00,3/5/2018,,25380,38,2280,22,461,118,202,103
3/6/2018 21:22:00,3/7/2018 5:34:00,3/6/2018,,27480,34,2040,32,492,122,252,84
3/7/2018 23:19:00,3/8/2018 5:56:00,3/7/2018,,21960,31,1860,21,397,116,178,72
3/8/2018 21:33:00,3/9/2018 5:48:00,3/8/2018,,27900,30,1800,25,495,131,227,107
3/10/2018 1:31:00,3/10/2018 8:42:00,3/10/2018,,23760,35,2100,23,431,118,182,96
3/10/2018 21:50:00,3/11/2018 7:54:00,3/10/2018,,30660,33,1980,33,544,112,295,104
3/11/2018 22:06:00,3/12/2018 5:36:00,3/11/2018,,23100,65,3900,19,450,70,239,76
3/12/2018 22:16:00,3/13/2018 4:58:00,3/12/2018,,20940,53,3180,26,402,45,221,83
3/14/2018 0:34:00,3/14/2018 7:06:00,3/14/2018,,20160,56,3360,20,392,90,186,60
3/14/2018 22:37:00,3/15/2018 7:59:00,3/14/2018,,30900,47,2820,25,562,136,255,124
3/16/2018 0:44:00,3/16/2018 7:21:00,3/16/2018,,22260,26,1560,19,397,70,205,96
3/17/2018 22:17:00,3/18/2018 6:54:00,3/17/2018,,27420,60,3600,29,517,109,269,79
3/18/2018 23:02:00,3/19/2018 5:45:00,3/18/2018,,20760,57,3420,26,403,91,174,81
3/19/2018 22:14:00,3/20/2018 5:52:00,3/19/2018,,24780,45,2700,12,458,100,230,83
3/21/2018 0:16:00,3/21/2018 8:06:00,3/21/2018,,25200,50,3000,25,470,88,247,85
3/21/2018 23:15:00,3/22/2018 6:30:00,3/21/2018,421,25260,7,420,0,435,,,
3/22/2018 21:20:00,3/23/2018 6:14:00,3/22/2018,489,29340,45,2700,31,534,117,276,96
3/23/2018 23:40:00,3/24/2018 3:47:00,3/23/2018,219,13140,27,1620,7,246,44,115,60
3/24/2018 5:06:00,3/24/2018 8:18:00,3/24/2018,165,9900,27,1620,14,192,35,101,29
3/24/2018 21:42:00,3/25/2018 7:11:00,3/24/2018,522,31320,47,2820,40,569,157,274,91
3/25/2018 22:40:00,3/26/2018 6:06:00,3/25/2018,399,23940,46,2760,15,445,68,231,100
3/26/2018 23:13:00,3/27/2018 6:13:00,3/26/2018,386,23160,34,2040,16,420,98,202,86
3/28/2018 0:02:00,3/28/2018 7:03:00,3/28/2018,380,22800,41,2460,28,421,87,238,55
3/28/2018 22:21:00,3/29/2018 6:25:00,3/28/2018,429,25740,55,3300,21,484,95,259,75
3/29/2018 23:06:00,3/30/2018 7:55:00,3/29/2018,447,26820,82,4920,19,529,124,249,74
3/30/2018 23:25:00,3/31/2018 6:52:00,3/30/2018,397,23820,50,3000,26,447,92,209,96
3/31/2018 22:42:00,4/1/2018 6:09:00,3/31/2018,384,23040,63,3780,22,447,79,222,83
4/1/2018 21:44:00,4/2/2018 6:10:00,4/1/2018,467,28020,39,2340,19,506,129,255,83
4/2/2018 21:24:00,4/3/2018 6:59:00,4/2/2018,522,31320,53,3180,31,575,146,262,114
4/3/2018 22:06:00,4/4/2018 4:29:00,4/3/2018,342,20520,41,2460,19,383,92,150,100
4/4/2018 5:43:00,4/4/2018 7:43:00,4/4/2018,109,6540,11,660,2,120,,,
4/4/2018 22:31:00,4/5/2018 5:52:00,4/4/2018,389,23340,52,3120,19,441,108,187,94
4/6/2018 0:46:00,4/6/2018 5:49:00,4/6/2018,276,16560,27,1620,23,303,66,114,96
4/6/2018 22:35:00,4/7/2018 6:21:00,4/6/2018,426,25560,40,2400,35,466,98,227,101
4/7/2018 22:35:00,4/8/2018 6:16:00,4/7/2018,415,24900,46,2760,32,461,122,203,90
4/8/2018 21:10:00,4/9/2018 6:06:00,4/8/2018,487,29220,48,2880,27,535,145,248,94
4/9/2018 20:58:00,4/10/2018 1:13:00,4/9/2018,230,13800,25,1500,10,255,62,116,52
4/10/2018 2:24:00,4/10/2018 5:53:00,4/10/2018,193,11580,16,960,16,209,53,109,31
4/10/2018 22:58:00,4/11/2018 5:57:00,4/10/2018,376,22560,43,2580,16,419,122,155,99
4/11/2018 21:39:00,4/12/2018 5:55:00,4/11/2018,469,28140,27,1620,28,496,100,260,109
4/12/2018 22:25:00,4/13/2018 6:06:00,4/12/2018,435,26100,26,1560,19,461,145,227,63
4/13/2018 21:42:00,4/14/2018 8:50:00,4/13/2018,573,34380,95,5700,39,668,115,338,120
4/14/2018 22:07:00,4/15/2018 8:04:00,4/14/2018,502,30120,95,5700,36,597,69,378,55
4/15/2018 21:12:00,4/16/2018 6:16:00,4/15/2018,482,28920,62,3720,26,544,109,296,77
4/16/2018 23:00:00,4/17/2018 6:12:00,4/16/2018,397,23820,35,2100,23,432,107,224,66
4/17/2018 23:21:00,4/18/2018 4:51:00,4/17/2018,302,18120,28,1680,16,330,81,148,73
4/18/2018 21:46:00,4/19/2018 6:17:00,4/18/2018,438,26280,73,4380,30,511,141,216,81
4/19/2018 22:36:00,4/20/2018 6:13:00,4/19/2018,413,24780,44,2640,22,457,110,185,118
4/20/2018 22:40:00,4/21/2018 7:26:00,4/20/2018,480,28800,46,2760,30,526,118,253,109
